N,K,LSD radix,STL full,STL partial sort,radix 8b,radix 4b,radix 2b
1000,1,0.117054,0.0978053,0.00134506,0.0104045,0.0104042,0.010404
1000,2,0.11022,0.0450944,0.00153936,0.0114186,0.0109173,0.0112393
1000,5,0.110192,0.0450878,0.00205174,0.0112108,0.0109514,0.0109448
1000,10,0.114311,0.0448886,0.00297925,0.0111238,0.0113261,0.0113707
1000,20,0.109728,0.0449439,0.00521746,0.0115016,0.011291,0.0115286
1000,50,0.110033,0.0450297,0.010517,0.0128679,0.0129288,0.0128777
1000,100,0.109797,0.0450005,0.018273,0.0134155,0.0130818,0.0133188
2000,1,0.123983,0.0973354,0.00290285,0.0185007,0.0180979,0.0184788
2000,2,0.123948,0.0973824,0.00305818,0.0183482,0.0185143,0.0185442
2000,5,0.123593,0.0974366,0.00367899,0.0184298,0.0185921,0.0188961
2000,10,0.123927,0.0974375,0.00477204,0.018482,0.0184764,0.0185208
2000,20,0.124078,0.0973536,0.00706896,0.0189417,0.0188765,0.0188723
2000,50,0.123814,0.0973461,0.0131856,0.0193298,0.0189387,0.019292
2000,100,0.124344,0.097259,0.0222011,0.0221151,0.02195,0.022081
5000,1,0.199127,0.27044,0.00670073,0.0439082,0.0437983,0.0438914
5000,2,0.195722,0.269765,0.00671337,0.0437029,0.0434913,0.0437331
5000,5,0.196439,0.271136,0.00731518,0.043943,0.0437011,0.0439186
5000,10,0.195137,0.270765,0.00864652,0.0439363,0.0438755,0.0440385
5000,20,0.195715,0.270634,0.0111889,0.0442681,0.0440601,0.0442575
5000,50,0.196105,0.270476,0.0182676,0.0471498,0.0462583,0.0464938
5000,100,0.197731,0.270723,0.0299192,0.0466419,0.0466378,0.0465478
10000,1,0.298107,0.587,0.012855,0.0892116,0.0894631,0.0889336
10000,2,0.295783,0.587822,0.0130121,0.0890486,0.0888122,0.0888842
10000,5,0.295595,0.587118,0.0137272,0.0892613,0.088817,0.0890351
10000,10,0.296149,0.591297,0.014992,0.0893342,0.0888832,0.0890555
10000,20,0.29559,0.587216,0.0177366,0.0896485,0.0893365,0.0894641
10000,50,0.295878,0.586005,0.0258439,0.0901737,0.0897959,0.0898118
10000,100,0.294942,0.586224,0.0394988,0.0937675,0.0925449,0.092782
20000,1,0.514744,1.26548,0.0254883,0.176994,0.176464,0.17645
20000,2,0.514027,1.26477,0.0255677,0.176699,0.177295,0.17658
20000,5,0.51564,1.26604,0.0263264,0.176928,0.176874,0.177225
20000,10,0.518108,1.26342,0.0278654,0.177008,0.177634,0.177124
20000,20,0.514394,1.26602,0.0307373,0.176909,0.177121,0.177195
20000,50,0.514279,1.26728,0.0398918,0.181582,0.179635,0.180522
20000,100,0.515938,1.26382,0.0551285,0.179784,0.179679,0.179862
50000,1,1.22015,3.4517,0.0629437,0.484256,0.483403,0.484634
50000,2,1.1395,3.45153,0.0632354,0.456883,0.456803,0.457504
50000,5,1.13947,3.45475,0.0639788,0.45667,0.457299,0.457116
50000,10,1.13895,3.44893,0.0656211,0.457049,0.457531,0.457294
50000,20,1.1378,3.45708,0.0692283,0.457304,0.460017,0.458218
50000,50,1.14077,3.45371,0.0793983,0.458339,0.458415,0.460543
50000,100,1.14005,3.45385,0.0970206,0.459734,0.460384,0.460934
100000,1,2.96123,7.57127,0.126193,1.04818,1.04494,1.04213
100000,2,2.62065,7.56669,0.126136,1.00306,1.00387,1.00279
100000,5,2.61766,7.56851,0.126771,1.00307,1.00332,1.0011
100000,10,2.62225,7.54882,0.128591,1.00188,1.00361,1.00196
100000,20,2.61915,7.54897,0.13285,1.00248,1.00512,1.00216
100000,50,2.62321,7.55138,0.143578,1.00624,1.00577,1.00346
100000,100,2.61679,7.56869,0.16349,1.0048,1.0068,1.00474
200000,1,5.88633,16.5421,0.252353,2.07273,2.06704,2.06283
200000,2,5.04,16.5587,0.252719,2.00084,2.0028,2.00035
200000,5,5.0389,16.6007,0.254283,1.99937,2.00492,2.00011
200000,10,5.04305,16.5898,0.256122,1.99872,2.00447,2.00279
200000,20,5.04394,16.5435,0.260304,1.99973,2.00199,2.0005
200000,50,5.04342,16.5531,0.271706,2.00058,2.00384,2.00193
200000,100,5.03977,16.5481,0.292016,2.00657,2.00572,2.00284
500000,1,16.8593,47.0302,0.62989,5.28541,5.28486,5.26517
500000,2,13.1237,46.9444,0.630192,5.01401,5.02182,5.0153
500000,5,13.1132,46.9005,0.632962,5.01885,5.02165,5.0128
500000,10,13.1168,46.9211,0.634655,5.01534,5.01988,5.01566
500000,20,13.1186,46.9278,0.64218,5.01803,5.02129,5.01347
500000,50,13.1135,46.9469,0.653515,5.01805,5.02078,5.0162
500000,100,13.1185,46.9097,0.677752,5.01676,5.02347,5.0171
1000000,1,31.6487,100.897,1.25876,10.4921,10.5192,10.4557
1000000,2,27.7356,100.888,1.25911,10.0766,10.0991,10.0797
1000000,5,27.7332,100.937,1.2604,10.1749,10.1291,10.0945
1000000,10,27.8279,100.958,1.26364,10.1455,10.0973,10.111
1000000,20,27.7562,101.006,1.33125,10.0817,10.1322,10.0977
1000000,50,27.7406,100.935,1.35233,10.1188,10.2565,10.0839
1000000,100,27.704,101.002,1.38208,10.1415,10.5718,10.1331