N,K,ASL full,LSD radix,STL full,STL partial sort,radix 8b,radix 4b,radix 2b,radix 4b cutoff=16,radix 4b cutoff=8
1000,1,0.0483,0.40259,0.22245,0.00538,0.13175,0.02221,0.01692,0.02222,0.02247
1000,2,0.0484,0.41806,0.22205,0.00623,0.13201,0.02227,0.01681,0.02247,0.02314
1000,5,0.0485,0.40559,0.22191,0.00824,0.13245,0.0222,0.01703,0.02313,0.02414
1000,10,0.04822,0.41874,0.22185,0.01159,0.13801,0.02314,0.02091,0.02877,0.03021
1000,20,0.04827,0.40447,0.22181,0.01801,0.13933,0.02368,0.022,0.03142,0.03332
1000,50,0.05564,0.41764,0.22166,0.03537,0.26684,0.0333,0.02514,0.04416,0.04856
1000,100,0.04802,0.40533,0.22181,0.06074,0.26848,0.03434,0.02973,0.04522,0.08257
2000,1,0.05476,0.42881,0.48512,0.01027,0.13365,0.02563,0.02312,0.02567,0.02572
2000,2,0.05485,0.43077,0.48458,0.01101,0.13345,0.02578,0.02331,0.02586,0.02666
2000,5,0.05479,0.41512,0.48495,0.01325,0.13354,0.02595,0.0231,0.02696,0.03039
2000,10,0.05478,0.42983,0.48448,0.01655,0.14008,0.02654,0.02337,0.02744,0.03403
2000,20,0.05478,0.41584,0.48496,0.02441,0.23785,0.03356,0.03051,0.03472,0.04354
2000,50,0.05489,0.43217,0.4846,0.04514,0.26689,0.03634,0.0325,0.03774,0.04865
2000,100,0.05469,0.41628,0.48465,0.07686,0.39335,0.04943,0.04058,0.05121,0.093
5000,1,0.07533,0.45806,1.34517,0.02211,0.13832,0.03714,0.04348,0.03715,0.03731
5000,2,0.07532,0.4577,1.34515,0.02265,0.1387,0.03663,0.04353,0.03661,0.03803
5000,5,0.07548,0.44275,1.34504,0.02481,0.1424,0.037,0.04337,0.03713,0.04124
5000,10,0.07539,0.45425,1.34528,0.03077,0.1604,0.03846,0.04419,0.04017,0.04496
5000,20,0.07532,0.4398,1.34517,0.03967,0.1839,0.04064,0.04466,0.04602,0.0527
5000,50,0.0753,0.44931,1.34497,0.06494,0.30522,0.05055,0.0596,0.05823,0.06919
5000,100,0.07532,0.4394,1.34509,0.10419,0.31464,0.05243,0.06398,0.06055,0.09938
10000,1,0.10866,0.49041,2.93768,0.0387,0.14642,0.0549,0.07375,0.05507,0.05502
10000,2,0.10884,0.47987,2.93719,0.0397,0.14666,0.05506,0.07492,0.05541,0.0557
10000,5,0.10865,0.49898,2.93698,0.04245,0.14716,0.05531,0.07489,0.05693,0.05917
10000,10,0.10895,0.48958,2.93719,0.04741,0.14721,0.05562,0.07556,0.05948,0.06379
10000,20,0.10876,0.48102,2.93706,0.05727,0.20676,0.05967,0.0765,0.06434,0.07014
10000,50,0.10897,0.49374,2.93735,0.08619,0.27517,0.06515,0.07861,0.07116,0.08006
10000,100,0.1089,0.48151,2.93749,0.13225,0.40676,0.07874,0.10651,0.08571,0.12321
20000,1,0.17571,0.57176,6.42904,0.07618,0.16339,0.0925,0.13598,0.0925,0.09305
20000,2,0.17563,0.56115,6.42864,0.0773,0.16455,0.09248,0.13692,0.09249,0.0941
20000,5,0.1754,0.57099,6.42813,0.08037,0.16717,0.09293,0.13853,0.09304,0.09678
20000,10,0.17534,0.56558,6.42862,0.08573,0.18397,0.09432,0.13814,0.09674,0.10161
20000,20,0.17537,0.5602,6.42864,0.09669,0.21132,0.09657,0.13882,0.10165,0.10809
20000,50,0.17552,0.56954,6.428,0.12991,0.33645,0.10691,0.14354,0.11427,0.12377
20000,100,0.17547,0.56096,6.42881,0.18184,0.3418,0.10847,0.14744,0.11647,0.15388
50000,1,0.37507,0.81911,17.7444,0.1891,0.21306,0.20566,0.32396,0.2058,0.20591
50000,2,0.37562,0.80723,17.7439,0.1901,0.2132,0.20525,0.32478,0.20534,0.20573
50000,5,0.37524,0.81986,17.7443,0.19341,0.21365,0.20538,0.32635,0.20699,0.20851
50000,10,0.3756,0.80693,17.7447,0.19965,0.214,0.20582,0.32731,0.21169,0.21447
50000,20,0.37511,0.81657,17.7447,0.21196,0.23411,0.20735,0.32741,0.21378,0.21743
50000,50,0.37537,0.81923,17.7439,0.24962,0.34155,0.21549,0.3306,0.22449,0.23057
50000,100,0.37503,0.80786,17.7439,0.3118,0.42272,0.22416,0.33716,0.23399,0.26589
100000,1,0.70762,1.23716,42.7801,0.3776,0.29668,0.39299,0.63621,0.39309,0.39337
100000,2,0.70728,1.22354,42.7791,0.37892,0.29693,0.39334,0.63697,0.39324,0.39431
100000,5,0.70759,1.2324,42.78,0.38225,0.29934,0.39355,0.63909,0.39367,0.39829
100000,10,0.70808,1.2232,42.7804,0.38886,0.32132,0.3951,0.6403,0.39565,0.40152
100000,20,0.70733,1.23306,42.7793,0.40258,0.4055,0.40118,0.64296,0.40215,0.4101
100000,50,0.70779,1.23204,42.7797,0.44398,0.47707,0.40812,0.64571,0.40959,0.42012
100000,100,0.70766,1.22352,42.7792,0.51348,0.5419,0.41537,0.6515,0.41811,0.45428
200000,1,1.36807,2.05616,101.385,0.75291,0.46317,0.76755,1.25667,0.76746,0.76772
200000,2,1.36757,2.04514,101.384,0.75471,0.46328,0.7668,1.25684,0.76704,0.76745
200000,5,1.36808,2.05798,101.388,0.75802,0.46489,0.76723,1.25857,0.76906,0.7703
200000,10,1.36789,2.04278,101.387,0.76526,0.46507,0.76748,1.26224,0.7728,0.77592
200000,20,1.36821,2.06331,101.385,0.77989,0.48816,0.76921,1.26298,0.77514,0.77922
200000,50,1.36792,2.04581,101.387,0.82559,0.59337,0.77706,1.26676,0.78527,0.79274
200000,100,1.36742,2.0596,101.388,0.90396,0.6663,0.78512,1.27206,0.79463,0.83012
500000,1,3.35583,4.52448,298.592,1.88026,0.96479,1.87606,3.11058,1.87644,1.87645
500000,2,3.35581,4.50928,298.589,1.88253,0.96455,1.89281,3.13251,1.89308,1.89337
500000,5,3.35624,4.53094,298.592,1.88619,0.96442,1.89284,3.13239,1.89362,1.89795
500000,10,3.35646,4.51816,298.588,1.89435,0.98015,1.89435,3.1339,1.89509,1.90168
500000,20,3.35648,4.52799,298.589,1.91118,1.07287,1.90075,3.14267,1.90189,1.91092
500000,50,3.35635,4.51267,298.59,1.96225,1.09683,1.90331,3.14596,1.90471,1.91577
500000,100,3.35509,4.52642,298.59,2.05132,1.22364,1.91653,3.15439,1.91843,1.96261
1000000,1,7.70242,9.52576,728.206,3.76152,1.81334,3.6894,6.14926,3.69053,3.69012
1000000,2,7.70368,9.58427,728.121,3.75992,1.81241,3.80602,6.30337,3.80483,3.80581
1000000,5,7.70853,9.57306,728.106,3.76524,1.81268,3.80512,6.30434,3.8061,3.80744
1000000,10,7.70203,9.54139,728.054,3.77468,1.82312,3.80553,6.30475,3.80981,3.81306
1000000,20,7.70634,9.52026,727.985,3.79275,1.83284,3.80524,6.30567,3.81234,3.8153
1000000,50,7.70616,9.51228,728.045,3.85097,1.9677,3.81452,6.32672,3.82265,3.82936
1000000,100,7.70512,9.58817,728.157,3.9521,1.97324,3.81591,6.33031,3.82534,3.85782